,Dates,MSFT,F,BGS,ADRD,V,MGI,NFLX,JACK,GE,SBUX,C,HD,SPY,mu,0.001143164,-0.000344378,0.000245835,4.75E-06,0.000906712,0.0001196,0.002553423,1.90E-05,-0.00060576,0.000118217,0.000427717,0.000700072,0.000333031
0,6/29/2018,-0.000202778,-0.018617021,-0.055292259,0.0080627,-0.002184722,0.009049774,-0.010090537,-0.016522241,-0.015907448,0.006386485,0.000598086,-0.000563496,0.005717,mud,0.000810133,-0.000677409,-8.72E-05,-0.000328281,0.00057368,-0.000213431,0.002220392,-0.000314041,-0.000938791,-0.000214814,9.47E-05,0.000367041,0
1,6/28/2018,0.011174903,-0.012259194,-0.024653313,0.005024898,0.013127767,0.003025719,0.012884551,-0.001269328,-0.009312321,-0.026083467,0.021692637,0.000974259,-0.00828,,,,,,,,,,,,,,
2,6/27/2018,-0.015542996,-0.008680556,-0.001538462,-0.005850585,-0.011542814,-0.029368576,-0.022534365,-0.007899256,0.016011645,-0.010718539,-0.012818579,-0.0068242,0.002214,,,,,,,,,,,,,,
3,6/26/2018,0.007012908,0.00173913,-0.015151515,0,0.012373024,-0.008733624,0.03877965,0.007380925,0.077647059,-0.005527043,0.00851711,-0.000101843,-0.01361,,,,,,,,,,,,,,
4,6/25/2018,-0.020117518,-0.012875536,0.026438569,-0.018507885,-0.032513116,-0.033755274,-0.064730351,0.019637817,-0.022988506,-0.011319282,-0.021577381,-0.005217567,0.001823,,,,,,,,,,,,,,
5,6/22/2018,-0.007217718,-0.005123826,0.019017433,0.014701268,0.005946629,0.015714286,-0.010470826,-0.005961426,0.022727273,0.012248123,-0.006358125,-0.01447756,-0.00627,,,,,,,,,,,,,,
6,6/21/2018,-0.007165996,-0.01347936,0.00798722,-0.005398514,-0.007158672,-0.020979021,-0.003167291,-0.007770819,-0.00931677,-0.030639602,0.0037103,0.006178421,0.001706,,,,,,,,,,,,,,
7,6/20/2018,0.010013881,-0.001682086,0.029605263,0.002327971,0.002886537,-0.032476319,0.029087856,-0.000811218,-0.005405405,-0.090719136,0.008984726,-0.000652578,-0.00383,,,,,,,,,,,,,,
8,6/19/2018,0,-0.008340284,0.009966777,-0.006216696,-0.008002937,-0.001351351,0.037346311,-0.011795694,-0.018939394,0.003670045,0.000449438,-0.007374558,-0.00206,,,,,,,,,,,,,,
9,6/18/2018,0.007290522,0.009259259,0.005008347,-0.020869565,0.008142117,0.016483516,-0.004030818,0.01228843,-0.007518797,0.001926108,0.006180283,0.00074798,-0.00574,,,,,,,,,,,,,,
10,6/15/2018,-0.012719385,-0.000841043,0.011824324,-0.008193187,0.000740741,0.032624113,-0.00226538,0.015181829,-0.024926686,0.001578394,0.002720677,0.004357189,0.002518,,,,,,,,,,,,,,
11,6/14/2018,0.005651958,-0.010815308,-0.016611296,0.000863185,0.004464286,-0.001416431,0.034058906,-0.000352941,-0.01799856,0.014410247,-0.016792986,-0.003195048,-0.00319,,,,,,,,,,,,,,
12,6/13/2018,-0.004540519,-0.007431874,0.003333333,-0.000862441,-0.003410945,-0.02351314,0.044251436,0.000706381,-0.006437768,-0.004780453,-0.004733028,-0.004967463,0.001292,,,,,,,,,,,,,,
13,6/12/2018,0.002572984,0.006650042,0.005025126,-0.009406156,0.007094317,0.001385042,0.00658459,0.002241888,0,0,-0.007341066,0.008365057,0.00133,,,,,,,,,,,,,,
14,6/11/2018,-0.005706976,-0.005785124,0.015306122,0.009495472,-0.006160012,0.054014599,0.00244058,-0.000353857,0.003589375,-0.002120141,-0.005257777,0.006605153,0.002956,,,,,,,,,,,,,,
15,6/8/2018,0.007434576,0.005818786,0.02617801,0.002160761,0.006724447,0,-0.002296624,0.030384054,0.010885341,-0.009450473,0.000292184,0.011010858,-0.00011,,,,,,,,,,,,,,
16,6/7/2018,-0.01570885,0.005012531,0.021390374,-0.002612001,-0.017904315,-0.014388489,-0.016464825,0.004149378,0.01026393,-0.000524751,0.003224388,0.013327135,0.008361,,,,,,,,,,,,,,
17,6/6/2018,0.002935708,0.01183432,-0.001779359,0.007407729,0.020365379,0.00433526,0.004510662,-0.010147379,-0.011594203,0.026760057,0.022019173,0.008596436,0.000728,,,,,,,,,,,,,,
18,6/5/2018,0.005114586,0.007666099,-0.014035088,-0.002598528,0.003682272,0.016152717,0.011027888,0.025520317,0.006564551,-0.024356054,-0.008613009,0.003030936,0.004751,,,,,,,,,,,,,,
19,6/4/2018,0.008731025,0.002561913,0.007067138,0.005224205,0.016965992,0.033383915,0.005223238,0.003730415,-0.027659574,0.002811457,0.000891795,0.02140379,0.009818,,,,,,,,,,,,,,
20,6/1/2018,0.019728855,0.013852814,0.005328597,0.007898201,0.000994492,-0.006033183,0.023691695,-0.003099045,0.001420455,0.004235045,0.008846904,0.004288395,-0.00613,,,,,,,,,,,,,,
21,5/31/2018,-0.001111673,0,-0.007054674,-0.002625821,0.00061237,0.006069803,-0.005487356,-0.014537014,-0.006351447,-0.014091858,0.00014997,-0.002886311,0.013345,,,,,,,,,,,,,,
22,5/30/2018,0.009590858,0.009615385,0.016129032,0.011957484,0.00732516,-0.003025719,0.010894118,0.014122894,-0.000705219,0.004368338,0.014761832,0.011297297,-0.0115,,,,,,,,,,,,,,
23,5/29/2018,-0.003558357,-0.006081668,0.001795332,-0.019539731,-0.012111517,0,-0.004440775,-0.015369602,-0.030758715,-0.011912983,-0.039888954,-0.00990099,-0.00238,,,,,,,,,,,,,,
24,5/28/2018,0,0,0,0,0,0,0,0,0,0,0,0,-0.00205,,,,,,,,,,,,,,
25,5/25/2018,0.000508595,-0.009466437,0.029574861,-0.008165515,-0.004625066,0,0.005725901,-0.007866392,0.002054795,0.004160888,-0.012552301,-0.001602992,0.002751,,,,,,,,,,,,,,
26,5/24/2018,-0.003547537,0.015734266,-0.010968921,-0.005925165,7.58E-05,0.023219814,0.013257136,0.003521982,0.029619182,0.003304923,-0.013240319,0.002571383,-0.00278,,,,,,,,,,,,,,
27,5/23/2018,0.011897436,-0.006944444,0.032075472,-0.014014352,0.008951113,-0.034379671,0.039503046,0.001459499,-0.072596468,0.009304775,-0.01181767,-0.001070263,0.007519,,,,,,,,,,,,,,
28,5/22/2018,-0.00102459,0.00086881,-0.029304029,0.002115059,0.000382673,-0.026200873,-0.000602736,-0.005202662,0.001965924,-0.006627136,0.009229022,-0.015385426,-0.0025,,,,,,,,,,,,,,
29,5/21/2018,0.01286841,0.015887026,0.018656716,0.00504649,0.00561841,-0.007225434,0.023567154,0.023909812,0.019372077,0.003149055,0.006718125,0.012645395,-0.00084,,,,,,,,,,,,,,
30,5/18/2018,0.001871491,-0.011343805,-0.032490975,-0.008000506,0,-0.004316547,-0.003197835,-0.036639217,-0.003992016,-0.000699301,-0.02235886,0.011277181,0.004205,,,,,,,,,,,,,,
31,5/17/2018,-0.00998456,0.005263158,0.018382353,0.006691178,-0.007334403,-0.00286944,-0.009049636,-0.082959396,0,0.000874891,-0.005420431,-0.005633652,-0.00689,,,,,,,,,,,,,,
32,5/16/2018,-0.001746815,0.016042781,0.014925373,-0.002397289,-0.001601831,0.020497804,0.0063165,0.010953751,0.021753909,0.009004237,-0.010044029,-0.008511544,0.000476,,,,,,,,,,,,,,
33,5/15/2018,-0.007242681,0.003577818,0.009416196,-0.004637437,-0.000838351,-0.002919708,-0.007305269,0.01175417,0,-0.00857693,0.000826219,-0.016223571,0.003051,,,,,,,,,,,,,,
34,5/14/2018,0.003377687,-0.000893655,-0.022099448,0.002959831,-0.004627522,-0.002911208,0.006340746,-0.013146266,0.007534247,-0.002444561,-0.003293988,0.00404603,0.009351,,,,,,,,,,,,,,
35,5/11/2018,-0.002144827,-0.001784121,0.026465028,0.001723897,0.006259542,0.028443114,-0.009526699,-0.01081849,-0.006126617,-0.0065915,0.003996142,0.016830519,0.009666,,,,,,,,,,,,,,
36,5/10/2018,0.010006189,0.013562387,0.009541985,0.00209253,0.001222868,0.01674277,-0.002119285,0.02935883,0.004787962,0.01069425,0.008617095,0.004292767,0,,,,,,,,,,,,,,
37,5/9/2018,0.011794176,-0.01863354,0.007692308,0.013333333,0.007236336,-0.129801325,0.010431644,-0.020709407,0.02452698,-0.010924224,0.013380282,0.007133593,0.003383,,,,,,,,,,,,,,
38,5/8/2018,-0.004261068,-0.00617284,-0.003831418,0,0.004951261,-0.122093023,0.001930975,0.035355839,0.014214641,0.003829417,0.03649635,0.008062759,0.012946,,,,,,,,,,,,,,
39,5/7/2018,0.011139134,-0.001760563,0.046092184,-0.000859476,0.008583021,0.015348288,0.019275829,-0.00713396,-0.00212766,-0.003987517,0.008242567,-0.007944658,-0.0022,,,,,,,,,,,,,,
40,5/4/2018,0.011587116,0.014285714,0.106430155,0.005183585,0.007705614,0.009535161,0.026949854,-0.004509075,0.012203877,0.027614466,0,0.010044216,-0.00672,,,,,,,,,,,,,,
41,5/3/2018,0.005988664,-0.000892061,0.018058691,0.003032929,0.006330116,-0.019859813,-0.005329334,-0.001125999,-0.017630465,-0.01005291,-0.000735402,-0.014630735,0.001777,,,,,,,,,,,,,,
42,5/2/2018,-0.015684211,-0.004440497,-0.036956522,-0.004172294,-0.00886205,-0.021714286,0.00019151,-0.006710659,0.009252669,-0.024600034,-0.003809524,0.006932784,-0.00769,,,,,,,,,,,,,,
43,5/1/2018,0.015825492,0.001779359,0.010989011,-0.005291845,0.004965322,0.001144165,0.002688344,-0.003232999,-0.001421464,0.009727289,-0.000292954,-0.000919913,0.000939,,,,,,,,,,,,,,
44,4/30/2018,-0.02400334,-0.02175805,0,-0.005123826,0.006904214,-0.001142857,0.002245317,-0.021810251,-0.021557719,-0.013536669,-0.010436295,-0.008902714,0.010166,,,,,,,,,,,,,,
45,4/27/2018,0.016549968,0.005249344,0.00886918,-0.00199856,-0.008419893,-0.001141553,-0.007070514,0.013483643,0,-0.017177501,-0.002746459,0.003984493,0.002472,,,,,,,,,,,,,,
46,4/26/2018,0.021124472,0.02880288,-0.036324786,0.00716309,0.048428347,0.028169014,0.02688383,0.012646894,0.023487544,0.028937792,-0.002595156,0.046958679,-0.01347,,,,,,,,,,,,,,
47,4/25/2018,-0.008698454,0.013686131,0.004291845,-0.001285898,-0.000494764,-0.013888889,-0.004103967,0.006193694,-0.042915531,-0.001729805,0.003472222,0.006410984,-0.00015,,,,,,,,,,,,,,
48,4/24/2018,-0.02338752,-0.007246377,0.026431718,-0.000856531,-0.025630725,0.001158749,-0.036618658,-0.001798561,0.011019284,-0.006017882,-0.005181347,-0.007880221,-0.00848,,,,,,,,,,,,,,
