,Dates,ABC US Equity,ANSS US Equity,AVB US Equity,AXP US Equity,BAC US Equity,BRKS US Equity,BXP US Equity,CACI US Equity,CARD LN Equity,CIT US Equity,CLF US Equity,COP US Equity,DNB US Equity,EBAY US Equity,EDMCQ US Equity,EIHIX US Equity,EMUSTRUU Index,GE US Equity,GPX US Equity,HAL US Equity,HRB US Equity,HRS US Equity,IR US Equity,JNJ US Equity,JPM US Equity,KO US Equity,LP06TREU Index,LUACTRUU Index,LUATTRUU Index,LUGCTRUU Index,MA US Equity,MANT US Equity,MCK US Equity,MORN US Equity,MSFT US Equity,NOG US Equity,PCAR US Equity,PDCO US Equity,REG US Equity,RTN US Equity,SYK US Equity,TCO US Equity,THO US Equity,UDR US Equity,VAR US Equity,WFC US Equity,WLL US Equity,SPY,mu,0.000565338,0.000758404,0.000213803,0.000461339,0.000779113,0.001173296,0.000181163,0.000926582,-0.000195692,0.000312854,0.000177703,0.000285115,0.000438847,0.000453241,0.007225417,-2.20102E-05,0.00011532,0.00013548,-0.000242946,0.00012948,0.00034925,0.000365687,0.000853818,0.000690957,0.000445374,0.000721759,0.00019019,0.000116429,0.000104546,3.92066E-05,6.47222E-05,0.001070524,0.0007049,0.000343065,0.00060931,0.001053321,-4.73833E-05,0.000326228,-0.000138884,0.000247614,0.000925982,0.000855781,-0.000102981,0.000826386,0.000368353,0.000511113,0.000419082,5.66705E-05,0.000495618
0,6/29/2018,-0.009639954,0.007228358,0.002800303,0.010621842,-0.016742239,0.019693654,0.003841844,0.002975305,0,0.015511684,0.007168459,0.017687473,-0.015017668,0.003320421,0,0.002277904,0.00050214,-0.015907448,-0.014005602,-0.012491782,0.002199736,-0.001519757,0.00842886,-0.005409836,-0.006957019,0.008971705,0.001573819,0.000623855,-0.00010573,0.000169327,-0.002942669,0.002242152,-0.017673049,0.002423011,-0.000202778,0.06779661,-0.001289491,-0.016912402,-0.006083894,0.001347709,-0.000651003,-0.006929187,0.003399959,-0.000266312,-0.006291506,0.033749767,-0.005658242,0.001439699,,85.72,176,170.6,99,28.28,33.28,124.69,170.65,196,50.71,8.5,68.59,123.96,36.67,0.003,4.38,1053.064,27.52,13.37,17.85,44.47,23.28,145.97,89.43,121.58,105.08,43.75,230.567,2805.17,2173.59,2301.99,197.67,54.44,134.88,128.93,100.01,3.11,60.86,22.48,61.55,194.39,169.96,58.52,97.77,37.23,114.03,56.32,50.41,271.86
1,6/28/2018,-0.041416166,0.007222319,0.010612582,0.000103135,0.015226629,-0.000936914,0.005634256,-0.003852993,-0.001520527,0.004045307,0.001196172,-0.004800698,0.014089095,-0.004407713,0,-0.004535147,-0.001399095,-0.009312321,-0.011080332,-0.004581152,0.010222222,0.006535948,0.001012487,0.003206973,0.016369624,0.009287207,-0.000163922,-0.001473687,-0.00092772,-0.001075586,0.020291956,0.000935104,-0.061247062,-0.009599009,0.011174903,0.020761246,0.004533679,-0.029052632,0.004180064,0.001973616,-0.001123197,-0.004542396,0.004553923,0.009680022,-0.013278151,0.006569069,-0.009527368,0.005717468,,85.27,174.18,171.89,98,28.19,32.62,125.42,168.55,197,50.41,8.43,69.62,122.65,36.26,0.003,4.4,1054.021,27.52,13.61,17.6,45.06,22.78,144.54,89.73,121.34,104.2,43.86,230.3121,2806.89,2175.13,2303.63,196.52,53.64,133.4,128.25,98.61,3.15,61.96,22.67,62.08,193.18,168.86,58.76,97.39,37.54,113.72,55.44,52.72,271.28
2,6/27/2018,-0.006306007,-0.031477407,-0.00992353,-0.012727828,-0.010511563,-0.019595836,-0.002649113,0.00059312,-0.001012658,-0.010606364,-0.01992966,0.020790021,-0.0308603,-0.020771513,0,-0.002262443,0.000767436,0.016011645,-0.05,0.01102779,-0.015748031,-0.003257329,-0.002020882,-0.006048222,-0.01544917,-0.006000462,0.002037729,0.003669154,0.003248354,0.003272126,-0.016695511,-0.005764225,-0.001862968,-0.003471419,-0.015542996,0.028469751,-0.006435006,0,-0.00288554,-0.007013925,-0.017939042,-0.009663446,-0.026792909,-0.002146499,-0.010747185,-0.002807412,-0.002794337,-0.008284242,,86.1,172.93,171.41,96.97,28.67,31.99,124.94,168.05,197,49.64,8.37,68.41,124.52,36.14,0.003,4.39,1053.492,27.52,13.83,17.85,45.63,22.73,144.76,88.98,122,104.93,43.47,229.9502,2805.14,2175.36,2303.24,197.1,53.52,135.8,127.94,98.63,2.95,62.04,23.06,62.46,192.92,168.97,59.17,97.06,37.55,114.44,53.63,53.02,270.89
3,6/26/2018,-0.019843852,0.000677392,-0.005341694,-0.003348894,0.002106742,0.010519802,-0.004793481,0.00297442,0.003047232,-0.008531746,0.01547619,0.018143332,0.017343825,-0.001077877,0,0,-0.000666438,0.077647059,0.002638522,0.002210433,-0.005654632,0.001179573,-0.00801871,-0.001957745,0.000668003,-0.005736576,-0.001307976,8.21787E-05,-0.000202693,-9.57179E-05,0.007590522,0.008627157,-0.007804477,-0.016911876,0.007012908,0.036900369,0.000321854,-0.015339967,-0.003195909,0.001963621,0.01156918,-0.005468103,-0.007497751,-0.004274646,0.009297521,-0.00982209,0.009781791,0.002214022,,89.82,171.69,169.61,96.96,28.24,32.02,124.24,168.7,197.3,49.44,8.36,68.74,122.79,36.3,0.003,4.41,1054.968,27.52,13.96,18.05,45.84,22.5,143.82,88.89,121.61,103.24,43.07,229.9879,2809.28,2177.38,2305.72,193.18,53.47,144.66,129.18,97.54,2.89,61.76,23.75,62.2,192.54,169.16,59.44,96.62,37.19,115.98,53.28,53.53,269.35
4,6/25/2018,-0.01368984,-0.012101271,0.008195282,0.013473208,-0.017592273,-0.040664886,-0.003423567,-0.02239023,-0.009058883,-0.018500487,-0.066666667,-0.024195928,-0.033224655,-0.025728538,0,-0.002257336,-0.000836376,-0.022988506,-0.028205128,-0.021202942,-0.000434783,0.002922756,-0.010687528,-0.002035168,-0.009078014,0.007630058,-0.001545336,0.000811726,0.001577964,0.001215353,-0.032261267,-0.023800806,-0.018874261,-0.002647304,-0.020117518,-0.02166065,0.000483014,-0.020308692,-0.001595405,0.000723963,-0.01,-0.007564545,-0.020849648,0.005372012,-0.018918919,0.000370782,-0.041471331,-0.01361287,,90.39,177.27,171.31,98.21,28.54,32.66,124.57,168.6,197.5,49.97,8.53,67.34,126.7,37.07,0.003,4.42,1054.159,27.52,13.74,19,45.34,22.86,144.29,89.07,122.35,104.86,43.33,229.5202,2799.01,2170.33,2298.2,196.46,53.78,144.93,129.63,99.08,2.81,62.16,23.75,62.38,193.9,172.25,60.02,99.28,37.27,117.24,53.43,53.68,271.6
5,6/22/2018,0.003111254,-0.014183617,0.005414631,0.006209252,-0.010242404,-0.021777003,0.026395358,-0.00463097,0.017409114,0.00963429,0.046511628,0.041007526,0.023030496,0.002104709,-0.076923077,0,0.002920191,0.022727273,-0.012658228,0.028940338,-0.02044293,0.003842124,0.009903194,0.011445039,-0.01637057,0.003713159,-0.00093146,-0.000521807,-7.38174E-05,-0.000178568,0.003486403,0.005337751,0.016523283,-0.009811264,-0.007217718,0.045283019,0.009754511,0.057560137,0.022679067,-0.006779661,0.012896767,0.023737374,-0.025655699,0.010586319,0.009894234,-0.007908773,0.094533254,0.001823221,,92.22,177.15,172.23,98.54,28.48,32.32,125.17,168.1,196.9,50.4,8.4,66.14,124.54,37.11,0.003,4.42,1054.862,27.52,12.75,18.95,45.24,22.99,144.12,89.79,122.59,104.79,43.58,229.8208,2798.78,2170.77,2298.42,194.98,53.32,146.07,131.86,98.39,2.71,62.14,24.12,62.58,193.52,170.28,60.35,100.03,37.43,116.16,53.96,53.16,271
6,6/21/2018,-0.000214523,-0.004542221,0.003543795,0.002177971,0.001709986,-0.016561965,0.009403613,0.053353659,0.01244168,-0.008383701,-0.008073818,-0.034978509,-0.005999368,-0.031839022,-0.057971014,0,0.002249816,-0.00931677,-0.0125,-0.01728287,-0.02451184,-0.01432211,-0.011331133,-0.00483448,-0.000278966,-0.003929727,-0.000188774,-0.000675034,0.001557201,0.000762763,-0.003770964,-0.005127266,-0.007050847,-0.004176611,-0.007165996,-0.036363636,-0.01599744,0.033288948,0.020309639,-0.008756746,0.001592545,0.02661597,0.000859107,0.007934337,-0.011800405,-0.00201909,-0.010158234,-0.006268797,,93.5,179.32,170.83,97.23,28.99,33.69,125.6,171.95,198.7,51.35,9,67.78,128.82,38.09,0.003,4.43,1055.745,27.52,13.05,19.5,46.22,23,143.7,90.76,122.84,105.75,43.25,230.1765,2796.51,2167.35,2295.63,201.48,54.62,148.88,132.21,100.41,2.77,62.11,24.62,62.68,193.38,172,60.81,102.16,37.23,118.4,53.94,55.46,274.74
7,6/20/2018,0.011500488,0.03377461,0.01207484,-0.007411983,-0.000683527,0.006032749,0.020626368,-0.020017927,-0.012288786,0.0009758,0.021201413,0.018261395,0.006035578,0.002041858,0,0,0.002813739,-0.005405405,0.047120419,-0.008674908,0.003334723,-0.001512547,-0.001318392,-0.00432406,-9.298E-05,-0.007798165,-0.000403422,-0.002735491,-0.001757421,-0.001966235,0.00926436,-0.003467153,0.005179229,0.021250666,0.010013881,-0.038461538,-0.003824701,0.003116652,0.017101253,-0.000915565,-0.001119425,0.024796316,0.0650671,0.004396812,-0.020232885,-0.010893246,0.045760981,0.001705989,,93.21,181.9,169.91,96.63,29.29,34.44,122.37,172.75,195.3,50.86,8.6,65.11,125.92,38.01,0.00325,4.43,1052.671,27.52,12.76,19.75,44.92,23.48,143.15,89.87,121.45,107.51,43.09,230.3911,2797.97,2167.51,2296.04,200.78,54.33,146.46,133.52,101.14,2.65,61.51,23.28,61.29,194.7,169.81,59.4,104.85,36.84,117.24,54.37,50.67,274.24
8,6/19/2018,0.006552364,-0.006519784,-0.001730517,-0.013506652,-0.004761905,-0.006847361,-0.00075713,0.000298864,0.002566735,-0.000780031,-0.02301496,-0.005105105,-0.008738093,0.008234689,0,0,-0.00227673,-0.018939394,0,-0.010939511,0.018683652,-0.025591211,-0.010867203,0.01030333,-0.005823627,0.001148106,0.001034351,0.000566653,0.001774401,0.001254394,-0.007159549,0.001645037,0.004793207,0.010544951,0,0.014184397,-0.01305442,0.029330889,-0.009725017,-0.029662899,-0.003054332,0.000177148,-0.002130466,-0.002193584,-0.009326679,0,0.021707368,-0.003832803,,93.23,182.73,169.31,96.42,29.24,35.02,121.23,164,192.9,51.29,8.67,67.47,126.68,39.26,0.00345,4.43,1050.308,27.52,12.88,20,45.71,24.07,145.23,90.9,122.04,107.54,43.26,230.4346,2799.86,2164.14,2294.29,201.54,54.61,147.5,134.08,101.87,2.75,62.51,22.53,60.07,196.42,169.54,57.86,104.76,36.55,118.64,54.48,51.19,275.97
9,6/18/2018,-0.034580917,0.00078749,-0.006756757,-0.000507511,0.004098361,-0.036028603,-0.010076616,-0.001789976,0.007238883,0.00568739,0.003464203,0.018971848,-0.029861005,-0.000771407,0,-0.002252252,-0.002518052,-0.007518797,-0.005208333,0.000429185,-0.004649197,0.000268043,-0.001302366,-0.010521165,0.002594995,-0.012919311,-0.000132859,-0.001092908,-1.8483E-05,-0.000409253,0.008018844,0.009595866,-0.0264,-0.008319976,0.007290522,0.014388489,-0.0065625,-0.025022341,-0.001172333,0.005359004,0.011105832,0.005880257,-0.001215929,-0.013257576,0.000491119,0.001818843,0.024155622,-0.002056796,,92.17,176.76,167.29,97.14,29.26,34.81,118.78,167.35,195.3,51.24,8.49,66.26,125.92,39.18,0.00345,4.43,1047.361,27.52,12.95,19.1,46.11,23.99,145.45,91.02,122.57,107.55,43.6,230.5276,2807.54,2167.95,2298.81,199.69,54.8,146.74,131.29,100.86,2.86,62.75,22.46,59.06,196.6,169.73,56.46,98.36,36.39,121.09,55.08,48.95,275.5
10,6/15/2018,0.016068559,0.004860954,0.003210846,-0.012429832,-0.007457627,0.048140675,0.001668335,0.006606607,-0.03493014,-0.006817296,-0.017026107,-0.040657566,-0.013262999,-0.002820513,0,0,-0.000761487,-0.024926686,-0.022900763,-0.023674838,-0.004627682,-0.004801601,0.002502448,0.001633853,-0.001203369,0.012391005,0.001897916,0.000837291,0.00117505,0.001054719,0.001103808,-0.010047497,0,-0.005692168,-0.012719385,-0.021126761,0.003764115,0.00223914,-0.004999167,-0.005673969,-0.002192593,0.005374418,0.001928934,-0.003773585,-0.009244992,0.004384362,-0.094113091,-0.005740322,,91.57,177.92,167.58,98.47,29.4,35.05,118.87,167.3,194.8,51.28,8.69,66.6,127.03,38.86,0.00345,4.43,1049.751,27.52,13.2,19.1,46.62,23.55,149.27,92.02,121.32,108.18,43.55,230.2894,2805.95,2164.11,2295.93,201.13,54.71,146.04,129.92,100.86,2.82,63.58,21.82,59.64,202.61,170.25,56.45,98.57,36.47,122.23,55.08,47.91,276.56
